DATE;NIKKEI 225 - PRICE;NIKKEI 225 - 3-WEEK MOVING AVERAGE;NIKKEI 225 - 30-WEEK MOVING AVERAGE;NIKKEI 225 - 3-WEEK AVERAGE DERIVATIVE;NIKKEI 225 - 30-WEEK AVERAGE DERIVATIVE;3 - 30 DERIVATIVE DIFF;
01.01.1990;38915,87;;;;;;
08.01.1990;38294,96;;;;;;
15.01.1990;37516,77;38242,53;;;;;
22.01.1990;37257,01;37689,58;;;;;
29.01.1990;37173,7;37315,83;;;;;
05.02.1990;37631,41;37354,04;;;;;
12.02.1990;37288,14;37364,42;;;;;
19.02.1990;37222,6;37380,72;;;;;
26.02.1990;33321,87;35944,20;;;;;
05.03.1990;33845,2;34796,56;;;;;
12.03.1990;33368,23;33511,77;;;;;
19.03.1990;31263,24;32825,56;;;;;
26.03.1990;31840,49;32157,32;;;;;
02.04.1990;28002,07;30368,60;;;;;
09.04.1990;30397,93;30080,16;;;;;
16.04.1990;28463,18;28954,39;;;;;
23.04.1990;29679,07;29513,39;;;;;
30.04.1990;29584,8;29242,35;;;;;
07.05.1990;30956,27;30073,38;;;;;
14.05.1990;32042,65;30861,24;;;;;
21.05.1990;31765,05;31587,99;;;;;
28.05.1990;33191,61;32333,10;;;;;
04.06.1990;32925,37;32627,34;;;;;
11.06.1990;32540,18;32885,72;;;;;
18.06.1990;32376,8;32614,12;;;;;
25.06.1990;31124,19;32013,72;;;;;
02.07.1990;32160,23;31887,07;;;;;
09.07.1990;32538,28;31940,90;;;;;
16.07.1990;33021,73;32573,41;;;;;
23.07.1990;31894,79;32484,93;33253,46;;;;
30.07.1990;30442,95;31786,49;32971,03;;;;
06.08.1990;28599,53;30312,42;32647,84;-1861,878333;-343,5561667;-1518,322167;ПРОД
13.08.1990;26176,43;28406,30;32269,83;-2122,146667;-405,4265;-1716,720167;ПРОД
20.08.1990;26490,47;27088,81;31910,95;-1023,18;-349,3213333;-673,8586667;ПРОД
27.08.1990;25141,76;25936,22;31509,88;-1070,138333;-422,1546667;-647,9836667;ПРОД
03.09.1990;25420,43;25684,22;31102,85;198,295;-410,0166667;608,3116667;КУП
10.09.1990;25080,9;25214,36;30695,94;-578,785;-406,8456667;-171,9393333;ПРОД
